start	end	text
0	3080	那么在创建好单粒模式这个项目之后
3340	5380	来添加一个文本文档
7940	9480	添加一个文本文档
12040	15620	我们来写一下关于单粒模式的相关内容
21000	22520	创建好文本文档之后
22780	25080	第一点我们先了解了解
25600	26620	啥是单粒模式
27400	28420	单粒模式之前见过没
30000	30760	见过没
32040	33580	是不是很少能见过
34100	37160	一般情况下单粒模式我们用的地方也不多
37420	38960	但是这个东西
39220	39720	得会
40500	41780	这个东西得会
42280	43820	那啥是单粒模式
44340	45620	那写一下
46380	47160	单粒模式
58420	59960	首先第一点
60000	61020	什么是
61800	62560	单粒模式
70500	71260	什么是
71780	72800	单粒模式
73320	76640	那单粒模式叫单粒模式来看它的字
77160	78180	单粒模式
78440	80480	那我给它扩展一下
80740	81500	叫做
81760	83040	单个
83300	84320	实力
84580	85080	的
85600	86360	模式
87900	89440	单粒模式啊也叫
89640	90420	单个
90680	91700	实力的
91960	92720	模式
94760	95280	那么
95540	97080	说到实力
97340	99640	在哪里可以创建实力来
102700	103980	怎么创建一个实力
105260	106540	是不是扭一个实力啊
106800	108340	那么谁扭一个实力
109880	110380	是不是累
111140	112680	是不是你创建一个累
112940	114480	然后扭一个实力出来啊
115240	116540	来写一下啊
117300	119100	一般情况下
120420	121960	创建的累
122720	124000	可以
124260	125020	在
125800	126560	命
127840	129120	方法中
129380	130660	进行
131420	132200	实力化
134760	135260	然后
135520	137300	实力化出
137560	138600	一个对象
140120	143460	这是正常情况下我这是我们之前学过的内容是不是
144220	145000	是不是啊
145500	147800	比如说啊我们创建了一个学生
148260	149280	student累
149540	151580	那么根据这个student累
151840	153120	我们是不是就可以扭
153380	155940	实力化出不同的学生的一些信息啊
156200	157740	比如说我扭出一个张三
158000	159020	扭出一个李四
159280	161580	扭出一个小鸣扭出一个小红
161840	163360	是不是根据同一个
163620	165420	累就可以扭出不同的实力
165920	166700	是不是啊
166960	168740	这是我们之前所讲过的啊
169000	170020	直接的一个实力
170280	172840	那咱们今天讲的单粒模式
173100	174880	也叫做单个实力的模式
175140	175480	那
175740	177200	换算到这里是什么
177800	178820	单粒模式
179080	180360	指的就是
180620	181120	一个
181380	181900	类
182160	183180	只能
183440	184460	实力化
184720	186000	一个对象
188300	190340	只能实力化一个对象
195720	197000	你创建了一个类
197260	199300	那么你在使用这个类实力化的时候
199560	201100	你无论实力化
201360	202120	多少次
202380	204680	那么它指的永远是一个对象
205140	207200	那么它指的永远是一个对象
209760	211040	这就是单粒模式啊
218200	220240	单粒模式啊指的是一个类
220500	223580	只能实力化出一个对象
226640	227660	就算是啊
227920	229200	你写不同的名字
229460	229980	对吧
230240	230740	我
231000	233560	学生他空格起一个名字啊然后
234020	234800	对一个对象
235060	237340	那么在单粒模式情况下
237600	238380	无论你
238640	240160	写起多少个名字
240420	243500	那它背后指的是不是只有同一个对象
243760	245280	这就是单粒模式
245800	247080	那么单粒模式
247340	248620	通常情况下
248880	249900	有什么作用啊
250160	251180	有什么作用
251440	251940	对吧
252200	253220	你好好的一个类
253480	256040	你专门给它设置成只能实力化一个对象
256300	257320	有什么作用嘞
258340	259120	丢点啊
260400	261420	单粒模式的优点
263560	264840	有点啊
265100	266380	保证
266640	269700	实力的唯一性
269960	270980	诶
271240	273280	节省内存
273540	275340	和资源
276100	277380	这是第一点
277640	278920	第二点
279440	282500	提供全局访问点
282760	284800	方便调用
285000	286040	第三点
286300	289860	避免对共享资源的
290120	292180	多重控制
315320	318380	那么单粒模式通常用在什么情况下
319140	320180	比如说
320440	321460	咱们
321720	322740	对一个系统
323260	324520	对了一个系统
324780	328100	那么这个系统里边有一个东西只能出现一次
328360	330920	而且每次用就只能用这一个东西
331180	332720	是不是就可以用单粒模式啊
333500	334260	是不是啊
334760	337080	比如说生活过生活当中
338860	340140	有一个公司
340400	341680	公司能有几个老板
342700	343980	是不是只有一个老板
344440	347520	如果你怼了一个公司的一个什么什么软件
347780	348280	对吧
348540	350840	你要调用公司里边的各种人员
351100	351600	那么
351860	354680	老板干的活是不是只能调用同一个老板
355460	355960	是不是啊
357240	360580	比如说啊你捏了个什么什么地球捏了个什么什么
360840	361860	宇宙太空
362120	364160	那么太啊是不是只能有一个
364920	366960	所以说啊你就可以用单粒模式
367220	369280	来实现这些啊只能有
369540	370300	一个
370560	371580	对象的实力
372100	372600	那么
373320	375880	这个就是单粒模式的一个介绍
376140	377160	那么接下来啊
377420	379720	咱们来敲一下对应的代码
380240	382280	那对应的代码怎么写
382800	385100	对应的代码啊其实都是我们学过的
385360	386120	只不过是
386380	388160	在普通的类上边
388420	390220	给他加了一定的限制
390720	392520	那么回到代码界面啊
393540	394560	在这里边
395340	396620	我们怼一个案例
398160	400460	比如说啊我们就怼一个
401300	402900	公司的老板案例吧
403740	405540	对吧公司是不是只有一个老板
406800	407320	开个会
408340	409380	是不是得让老板开会
410140	412700	公司需要签订什么什么合同
413220	414240	是不是只能老板签
415780	418840	那么假如说啊你怼了一个公司的一个什么什么系统
419100	421660	然后需要运行一些某某某事件
422180	423960	对吧运行一个签字事件
424220	425760	你是不是得调用一个老板
427040	427540	是不是啊
427800	429600	你是不是就得实力化一个老板出来
430040	431080	让他去签字去
431340	433640	公司要开一个什么什么股东大会
434160	436200	那你是不是也得实力化出一个老板
436460	438260	让他去开股东大会去啊
438760	440820	那么你实力过来实力过去
441080	443120	那么你实力的是不是总究
443380	445160	出来的这个老板是指同一个人
446200	446700	是不是啊
447480	450040	那么这种情况下用的就是单立模式
450280	452080	那么跟着老师写一下啊
452340	455660	那么创建一个公司的这样的一个老板
455920	456700	怎么创建
