start	end	text
0	3340	大家把代码给人写一下
3580	6140	要想打开某某某文件夹
6400	9220	那么先把它的路径对出来
9980	11020	路径对出来了
11260	13560	那么接下来就可以通过
13820	15100	csharp当中
15360	17160	自带的一个方式
17420	18440	来进行打开
18700	21000	叫做process
21760	23300	process.start
23560	24320	把pass
24580	25340	写进去
25600	26880	是不是就可以了
27400	29700	那么点击运行看看效果
30000	35640	当我点击按钮
36920	38460	对应的文件夹
38720	39480	是不是就出来了
40240	41000	是不是
41520	43300	点一下就打开了
43560	45620	点一下就打开了很方便
46380	48940	那么这就是用process
49200	51500	来打开文件夹的方式
51760	54060	那么防止你这个文件夹
54320	55860	可能是没有的
56120	59440	所以说我们是不是还可以再判断判断有没有这个文件夹
60200	64040	那么判断文件夹有没有叫做directly.exist
65320	67640	你判断文件夹有没有用的是directly
67880	69160	那你判断某个文件
69420	70460	有没有用的是fail
70960	71480	听到没有
72240	73260	那么把pass推进去
73520	73780	判断
74040	75060	有没有这个文件夹
75320	75820	如果有
76600	77860	就用process给它打开
78120	78900	那如果没有呢
79660	80940	这个else的一个弹窗啊
81200	82480	未能找到文件夹
82740	83240	听到没有
84280	84780	听到没有
85560	88620	这是打开我们文件夹的方式啊
90460	91740	大家给它写一下啊
92000	93280	这是打开目标文件
115560	116840	大家给它写一下啊
117080	118360	这是打开目标文件
120000	129680	用到的代码是process.start
130440	131980	这是打开文件夹啊
132240	133520	这个比较简单
133780	135320	打开文件的话
135580	137100	代码率复杂啊
138380	139940	那么关于这个文件夹
140180	141200	这个文件夹
141460	142480	这个文件夹
142740	143760	这个文件夹
144020	144780	这个文件夹
145040	145800	这个文件夹
146060	146820	这个文件夹
147080	147800	这个文件夹
148060	148880	这个文件夹
149600	151700	那么关于打开文件夹的内容
151960	152660	大家写了没有
153440	154200	open fail
160360	162140	那么这是打开素材文件夹
162400	163160	那么接下来啊
163420	163680	我要
163940	165980	我不想每次打开debug
166240	167780	去翻找我的csa文件
168040	171360	我想通过按钮直接把我的csa文件打开行不行
172120	172640	是可以的
172900	173660	那我怎么打开
174180	175720	代码给它写一下啊
176600	179760	叫做还是先把你的csa文件的路径
180280	181040	对出来
194620	195900	结果点csa啊
197680	198700	然后还是
198960	201280	先判断该文件夹再不在
201540	202800	就该文件再不在
203060	203840	叫做
204040	204680	fail down
204920	205580	excess
205840	207380	把你的pass拎进去
207640	210440	判断你的这里的结果文件夹再不在
211220	211980	如果不在
212240	213260	给个弹窗啊
217100	219400	该文件不存在啊
221660	223240	那如果该文件存在呢
223760	227240	我们打开文件夹的方式是用process
227500	229900	那打开文件的方式用的是啥
230680	233240	在这里用的依旧是process只不过
233880	236400	它用的是我们系统自带的system
237040	238140	的process
238580	239980	那么代码比较长啊
239980	241280	大家跟着老师写一下
241640	242320	叫做
242740	243520	system
247420	248120	点
251420	252820	degonestace
254020	254540	点
255220	255820	process
256120	257180	点start
257180	263320	那么这就是啊打开文件的一个代码
263580	264860	它的一个方法
265120	268700	那么它这个方法里边啊需要你去填一个参数
268960	269980	那么这个参数
270220	272800	用到的是它自带的一个方式
273060	274860	叫做new
276120	277160	system
277660	278160	点
278420	279460	还是刚刚的
279720	281760	degonestace
282020	284060	点process
285040	289340	点process start info
291140	291940	然后把
292840	293740	目标的
294000	296040	这个文件夹路径
296300	297340	写进去
299360	302940	那么怎么写叫做feilder name等于pass
303200	305440	然后激活对应的线程
305700	308540	叫做user shell等于true
308800	309360	搞定
310140	311400	那么这就是啊
312380	314180	在这个代码当中
314440	318780	打开目标文件的一种方式内容了
319040	320680	那么代码略长啊
320940	322280	大家跟着写一些
324980	327980	那么点击启动啊给大家看看效果
328240	330280	只要你是打开某某某文件
330540	332860	用这一句话就可以了是固定的
333120	335160	我点击打开csv你看
335660	336960	它是不是就自动打开了
337720	340540	这就是啊打开文件的代码了
340840	342280	大家跟着写一下
353480	355780	那么这一次啊咱们就加大难度
356280	358480	之前啊光是提这个数量
358740	359580	那这一次咧
361880	363480	是不是光提数量就不够了
364420	366280	那么这个案例的要求是不是对吧
366520	367480	合格的数量
367740	368720	不合格的数量
368980	370440	以及漏装的数量
370640	372080	是不是都得检测出来啊
372580	376080	那么把这种案例用作联合编程上该怎么做
381840	382680	该怎么做呀
384580	387140	咱们这里的输出是不是只能输出一个
387480	388140	数量呀
388940	391040	那么至于它的这个颜色该怎么办
394880	395580	怎么办
401540	402640	在这里啊
402940	405740	咱们来教大家啊教大家
406080	410880	如何做这种比较复杂的联合编程
411580	413540	那么方式还是
413880	415440	对一个to block
415940	418080	在to block里边来吧
418580	420140	大家把这个案例给做一做
422940	424480	用颜色分干工具
425840	427380	加block工具
431340	433140	把目标的这个班点啊
434040	435040	给提一下
550540	552840	大家先把这种效果啊先做出来
553340	555540	那么这种效果做出来之后
555840	556940	可能会有疑问
557440	559040	咱们之前是不是第一把一些
559040	560740	我摸摸我都请连接到这呀
561340	562040	是不是啊
562440	565840	连接到我的父子这里过去目标的结果是不是啊
566240	568040	但是这一边的结果
568240	570040	我们就要把这种效果做出来
570340	572440	我们就要把这种效果做出来
572740	574640	我们就要把这种效果做出来
575040	577040	我们就要把这种效果做出来
577040	579540	父子这里过去目标的结果是不是啊
580040	582740	但是这一次咱们过去的内容是不是有点多呀
583540	585840	你是不是地方每一个班点的面积都得过去的
586540	587740	那这样子的话啊
587740	589440	那怎么还有必要去连他吗
590240	591340	就没必要了啊
591840	592740	这一次啊
592740	594740	咱们就不用连这里的我的poops了
595140	596840	大家直接做就可以了啊
597040	598240	做到这一步
598240	599040	停下机场
668040	670040	把这一步啊做完之后
670440	673040	至于你这里的我的铺子要不要连接
673040	674240	再就不用管了
674440	677040	啊直接保存概念力
678240	680240	叫做胶脑
681540	682540	药瓶
684240	686040	啊直接保存土布拉克
686040	687040	这一次啊
687040	689040	咱们就不用这里的我的铺子了
692040	693040	保存完之后
694040	695040	保存完之后
695540	698040	哎把这个vpp放一放
698840	701240	打开visual studio202
701840	704340	创建一个新项目第八节
708540	711740	叫做联合编程
713440	717040	中的脚本编写
718040	719040	这一次啊
719040	721240	咱们在联合编程当中写脚本
747040	750040	把这个案例啊创建完之后依旧
750040	752040	哎咱们依旧是
752040	755040	把一些该设置的内容啊设置设置
755040	756040	比如说啊
756040	759040	把首选32位去掉
759040	760840	我将它们删除
760840	762540	我将它们删除
762540	763540	我将它们删除
763540	765040	我将它们删除
765040	767040	我将它们删除
767040	769040	我将它们删除
769040	770040	我将它们删除
770040	771040	我将它们删除
771040	772040	我将它们删除
772040	773040	设置设置
773540	776740	比如说把首选32位去掉
777440	781040	然后在Foam1界面当中
781040	783040	对一个table聊的panel
798740	801840	然后把对应的recorder的display
802240	803440	该放的放一放
817240	819640	界面布局还是跟咱们之前一样
832140	832980	接啊
837340	837640	我就会
838940	839820	哇这高音音
842740	843040	没内内
892040	894400	把它的准备工作做一做
952040	974480	把这个案例的准备工作自己搭建一下
974480	976680	见面布局完之后
976680	979680	在导入图片加在VPP里边
979680	983120	把事件创建好把对应的逻辑先写出来
1009680	1029120	代码自己敲不要给复制粘贴啊
1029120	1033120	不让你复制粘贴让你手动鞋啊
1033120	1038120	目的就是让你去熟悉去记忆它这一个代码
1128580	1133320	把 đâu显现出
1133320	1138620	把问题维持下来
1138620	1139620	任何两个领域的同时
1143620	1145220	这准备一个体验
1145220	1149220	这边还有什么东西
1149220	1153220	没用钱送你一些东西
1165220	1169220	把导入图片和加载VPP的操作
1169220	1171220	写一下
1175220	1179220	选择
1179220	1183220	选择
1183220	1187220	选择
1187220	1191220	选择
1191220	1195220	选择
1195220	1199220	选择
1199220	1207220	选择
1207220	1211220	选择
1211220	1215220	选择
1215220	1219220	选择
1219220	1223220	选择
1223220	1227220	选择
1227220	1231220	选择
1231220	1235220	选择
1243220	1247220	选择
1247220	1251220	选择
1251220	1255220	选择
1255220	1259220	选择
1259220	1263220	选择
1263220	1267220	选择
1267220	1271220	选择
1271220	1275220	选择
1275220	1279220	选择
1287220	1291220	选择
1291220	1295220	选择
1295220	1299220	选择
1299220	1303220	选择
1303220	1307220	选择
1307220	1311220	选择
1311220	1315220	选择
1315220	1319220	选择
1319220	1323220	选择
1323220	1327220	选择
1331220	1335220	选择
1335220	1339220	选择
1339220	1343220	选择
1343220	1347220	选择
1347220	1351220	选择
1351220	1355220	选择
1355220	1359220	选择
1359220	1363220	选择
1363220	1367220	选择
1367220	1371220	选择
1371220	1375220	选择
1375220	1379220	选择
1379220	1383220	选择
1383220	1387220	选择
1387220	1391220	选择
1391220	1395220	选择
1399220	1403220	选择
1403220	1407220	选择
1407220	1411220	选择
1411220	1415220	选择
1415220	1419220	选择
1419220	1423220	选择
1423220	1427220	选择
1427220	1431220	选择
1435220	1439220	选择
1439220	1443220	选择
1443220	1447220	选择
1447220	1451220	选择
1451220	1455220	选择
1455220	1459220	选择
1459220	1463220	选择
1463220	1467220	选择
1467220	1471220	选择
1471220	1476220	那么在联合编程当中,我们该怎么写,叫做
1476220	1480220	判断
1480220	1484420	判断啥
1484420	1489860	访问访问你的ctp的这个兔子工具里边
1489860	1502180	哎,contents,有没有一个叫做cogblub2e的工具
1502180	1505940	这是第一点
1505940	1515620	我用重视把之前脚本里面获取的代码也写一下
1535940	1551780	那么,是不是通过这一步ctp.tools.contents
1551780	1555380	是不是就把名字叫做它的工具给获取到了
1555380	1558900	是不是,这个能不能理解
1559380	1561460	这是判断的第一点
1561460	1566340	判断你的ctp.tools,就是你的toolblock里边
1566340	1569140	有没有叫做这个名字的工具
1569140	1571700	那么,是不是有这个名字的工具
1571700	1575780	那么有这个名字的工具,那它的这个工具一定是blub工具吗
1575780	1578340	不一定
1578340	1580180	老师之前是不是给大家演示过
1580180	1582500	就类似于咱们这里的脚本
1582500	1586180	你有一个工具叫这个名字,但是它一定是blub工具吗
1586820	1587540	不一定
1587540	1590980	有没有可能是魔法体内将来改成它的名字了
1590980	1592500	是不是有这种可能
1592500	1595860	那么这样的话,你能把它当作老师工具使用吗
1595860	1598660	所以说不行,那它工具是不是会转一下类型
1598660	1602180	那么在这里,你包括去叫做它的名字的工具
