start	end	text
0	2040	要想检测这个T序
2040	6120	不仅要把是否合格给判断出来
6120	10560	而且还需要把缺少的那一部分给指出来
10560	13600	那么前一步判断是否合格
13600	14880	这个好理解
14880	16400	直接摸完去被搞定
16400	23240	那后一步是否能把缺少的一部分给指出来呢
23240	25560	这个该怎么做
25560	28320	在这里咱们会学习一个新的工具
28400	30320	这个工具的名称啊
30320	33960	叫做缺陷识别工具
33960	37440	叫做缺陷识别工具
37440	42560	那么工具的位置就在我们所在的
42560	45800	裸露在外的工具哪里
45800	52120	那么它的名字叫做KogPetInspectTo
52120	55600	KogPetInspectTo
55640	59560	那么你看完这个工具的名称之后
59560	62000	来看看它的图标
62000	64360	它的图标找什么呀
67080	70520	它的图标是不是就是完整的跟缺陷的
70520	73040	做了一个重合性的比对
73040	74600	你看是不是
74600	76600	那么对于咱们这个案例
76600	82480	要想把缺少的一部分的logo材质给提出来
82520	85680	那么它是不是得跟完整的logo
85680	87560	去做重合比对呀
87560	89720	那么做了一次重合比对之后
89720	93360	那么不一样的地方是不是就是缺少的地方
93360	94640	是不是
94640	97960	是不是不一样的地方是不是就是缺少的地方
97960	99320	所以说啊
99320	102640	在这里咱们的这个工具
102640	105120	就叫做缺陷识别工具
105120	108360	来把这个工具拽到作业编辑期当中
109360	110920	那么接下来啊
110920	114760	教大家如何使用该工具
114760	118600	那么该工具的使用方式是怎么使用的
118600	119360	首先啊
119360	121920	这个工具我们先看看输入
121920	122960	输入的话
122960	125760	是不是得有一个图片
125760	128840	而且这个图片需要的类型是什么
128840	131400	是不是必须是绘度图啊
131400	135240	所以说我们原图是不是得给它转绘一下
135240	138320	转绘一下啊
150520	153880	转绘之后是不是就可以直接连了
153880	156240	那么直接连了之后
156240	159720	那你看看它是不是还有其他的一些输入
159720	161640	那么它的一些其他的输入
161640	162600	那么在这里
162600	165880	既然要跟一个完整的logo作比对
165880	169640	那你是不是得把它的一个目标给标出出来
169640	170360	那么在这里
170360	173400	它是不是有个第二个输入叫做pose啊
173400	174360	那么pose的话
174360	177960	我们之前有没有见过
177960	180640	是不是有一个输出叫guidepose啊
180640	183160	那guidepose来源于谁
183160	184760	是不是模板匹配
184760	185480	所以说啊
185480	187640	要想使用该工具之前
187640	189720	我们先得做一次模板匹配
189720	192400	先把目标的位置匹配出来
192400	195160	是不是才能够去做缺陷检测啊
195160	196240	所以说啊
196240	197720	在做缺陷检测之前
197720	198720	我们别忘了
198720	201120	把模板匹配也给做一做
201120	203200	那么模板匹配做什么
203200	208200	把T序的位置给试别出来
208200	210040	那么在多张图片当中
210040	212280	T序的位置是不是可能会变
212280	214800	所以说我们的这个模板匹配啊
214800	216880	先把T序的位置标住好
216880	220280	并把这里的中心点放到logo这
220280	221440	听到没有
221480	222680	把中心点放到logo这
222680	225440	因为我们最重要识别是这个logo
225440	226560	所以说在这里啊
226560	228600	先用模板匹配
228600	231000	把T序给匹配出来
231000	232000	匹配出来之后
232000	234560	将这里的guidepose与下面的pose
234560	237000	进行连接即可
237000	238760	听到没有
238760	240120	听到没有
240120	244880	这个就是做缺陷检测工具的一个前提
244880	246880	需要做一次模板匹配
246880	250400	给它输入一个guidepose即可
250400	254320	那么把这一步做完之后
254320	255720	把这一步做完之后
255720	259120	进入patternsback2
259120	261440	进入缺陷检测工具
261440	264640	那么缺陷检测工具该怎么使用
264640	267280	首先看看它的布局
267280	270080	它的布局还是呈现左右两半部分
270080	273160	右边展示的是咱们的图片
273160	275600	而左半边是不是我们的一些
275600	277920	训练的一些什么参数
277960	280720	那么这个训练的什么参数
280720	282000	该怎么去使用
282000	284680	在这里大家可以跟着老师去做
284680	290120	首先我们需要先点击这里的
290120	294120	抓取训练图像语言点点
294120	296120	点完之后
296120	298720	进入切换到第二张图
298720	300000	trimmage
300000	302400	然后把需要检测的内容
302400	303280	将它框起来
303280	309000	这是我们第一步要做的
309000	313560	你先把合格的这个logo展示出来
313560	314760	并把它框住
314760	318640	框完之后点击训练新模式
318640	322480	那么这里的合格的这里的logo
322480	325120	图标是不是就给你训练好了
325120	327280	训练好了之后
327280	329240	就可以点击运行了
329240	332280	点击运行查看结果
332760	333960	结果的话
333960	337720	这里要切换到最后一张图片
337720	339040	叫做什么
339040	340880	叫做last run
340880	342720	什么difference
342720	343480	隐蔑着
343480	345880	那difference是什么意思
345880	346840	不同
346840	349000	是不是多种不同的意思
349000	349960	那么在这里
349960	354280	我们就可以让其他图像的这里的logo位置
354280	357520	跟我们训练好的这个图像去做比对了
357520	359720	那么如果有不一样的地方
